country,continent,labour_market_insecurity,stakeholder_engagement_for_developing_regulations,dwellings_without_basic_facilities,housing_expenditure,feeling_safe_walking_alone_at_night,rooms_per_person,household_net_adjusted_disposable_income,household_net_wealth,employment_rate,long-term_unemployment_rate,personal_earnings,quality_of_support_network,educational_attainment,student_skills,years_in_education,air_pollution,water_quality,voter_turnout,life_expectancy,self-reported_health,life_satisfaction,homicide_rate,employees_working_very_long_hours,time_devoted_to_leisure_and_personal_care
Australia,Australia,5.4,2.7,NaN,20.0,63.5,NaN,32759.0,427064.0,73.0,1.31,49126.0,95.0,81.0,502.0,21.0,5.0,93.0,91.0,82.5,85.0,7.3,1.1,13.04,14.35
Austria,Europe,3.5,1.3,0.9,21.0,80.6,1.6,33541.0,308325.0,72.0,1.84,50349.0,92.0,85.0,492.0,17.0,16.0,92.0,80.0,81.7,70.0,7.1,0.5,6.66,14.55
Belgium,Europe,3.7,2.0,1.9,21.0,70.1,2.2,30364.0,386006.0,63.0,3.54,49675.0,91.0,77.0,503.0,19.3,15.0,84.0,89.0,81.5,74.0,6.9,1.0,4.75,15.7
Canada,North America,6.0,2.9,0.2,22.0,82.2,2.6,30854.0,423849.0,73.0,0.77,47622.0,93.0,91.0,523.0,17.3,7.0,91.0,68.0,81.9,88.0,7.4,1.3,3.69,14.56
Czech Republic,Europe,3.1,1.6,0.7,24.0,72.3,1.4,21453.0,NaN,74.0,1.04,25372.0,91.0,94.0,491.0,17.9,20.0,87.0,61.0,79.1,60.0,6.7,0.5,5.65,NaN
Denmark,Europe,4.2,2.0,0.5,23.0,83.5,1.9,29606.0,118637.0,74.0,1.31,51466.0,95.0,81.0,504.0,19.5,9.0,95.0,86.0,80.9,71.0,7.6,0.6,2.34,15.87
Finland,Europe,3.9,2.2,0.5,23.0,85.1,1.9,29943.0,200827.0,70.0,2.13,42964.0,95.0,88.0,523.0,19.8,6.0,95.0,67.0,81.5,70.0,7.6,1.3,3.81,15.17
France,Europe,7.6,2.1,0.5,21.0,70.5,1.8,31304.0,280653.0,65.0,4.0,43755.0,90.0,78.0,496.0,16.5,13.0,81.0,75.0,82.4,66.0,6.5,0.5,7.67,16.36
Germany,Europe,2.7,1.8,0.2,20.0,72.5,1.8,34294.0,259667.0,75.0,1.57,47585.0,90.0,87.0,508.0,18.1,14.0,91.0,76.0,81.1,65.0,7.0,0.5,4.26,15.62
Greece,Europe,29.8,1.8,0.5,23.0,60.0,1.2,17700.0,150134.0,53.0,15.65,26064.0,80.0,73.0,458.0,19.0,18.0,69.0,64.0,81.5,74.0,5.4,0.8,6.42,NaN
Hungary,Europe,4.7,1.2,4.7,19.0,56.3,1.2,NaN,104458.0,68.0,1.72,22576.0,86.0,84.0,474.0,16.4,19.0,77.0,70.0,76.2,60.0,5.6,1.0,3.03,NaN
Iceland,Europe,0.7,2.1,0.0,24.0,86.0,1.6,NaN,NaN,86.0,0.26,61787.0,98.0,77.0,481.0,19.0,3.0,99.0,79.0,82.3,76.0,7.5,0.5,15.06,NaN
Ireland,Europe,7.8,1.3,1.0,20.0,75.9,2.1,25310.0,217130.0,67.0,3.23,47653.0,95.0,82.0,509.0,18.1,7.0,85.0,65.0,81.8,83.0,7.0,0.7,5.25,NaN
Italy,Europe,12.3,2.5,0.7,23.0,58.4,1.4,26588.0,279889.0,58.0,6.59,36658.0,92.0,61.0,485.0,16.6,18.0,71.0,73.0,83.3,71.0,6.0,0.6,4.11,16.47
Japan,Asia,1.4,1.4,6.4,22.0,72.5,1.9,29798.0,305878.0,75.0,1.03,40863.0,89.0,NaN,529.0,16.4,14.0,87.0,53.0,84.1,36.0,5.9,0.2,NaN,NaN
Korea,Asia,2.6,2.9,2.5,15.0,66.6,1.5,21882.0,285980.0,67.0,0.05,35191.0,78.0,88.0,519.0,17.3,28.0,76.0,77.0,82.4,33.0,5.9,1.0,NaN,14.7
Luxembourg,Europe,1.7,1.7,0.5,21.0,75.8,1.9,39264.0,769053.0,66.0,2.35,63062.0,93.0,77.0,483.0,15.1,12.0,84.0,91.0,82.8,69.0,6.9,0.6,3.82,NaN
Mexico,South America,5.5,3.2,25.5,20.0,41.8,1.0,NaN,NaN,61.0,0.07,15314.0,81.0,38.0,416.0,15.2,16.0,68.0,63.0,75.4,66.0,6.5,18.1,28.7,NaN
Netherlands,Europe,4.8,2.6,0.1,19.0,82.0,1.9,29333.0,157824.0,76.0,1.97,52877.0,91.0,78.0,508.0,18.7,14.0,93.0,82.0,81.6,76.0,7.4,0.6,0.42,NaN
New Zealand,Australia,4.7,2.5,NaN,26.0,65.7,2.4,NaN,388514.0,77.0,0.74,40043.0,96.0,79.0,506.0,17.7,5.0,89.0,80.0,81.7,88.0,7.3,1.3,15.11,14.87
Poland,Europe,5.7,2.6,3.0,22.0,67.3,1.1,19814.0,210991.0,66.0,1.52,27046.0,86.0,92.0,504.0,17.6,22.0,82.0,55.0,78.0,58.0,6.1,0.7,5.95,14.42
Portugal,Europe,10.0,1.5,1.0,21.0,73.4,1.7,21203.0,232666.0,68.0,4.43,25367.0,88.0,48.0,497.0,16.9,10.0,86.0,56.0,81.2,48.0,5.4,1.0,8.27,NaN
Slovak Republic,Europe,9.9,3.0,1.2,23.0,63.5,1.1,20474.0,119696.0,66.0,4.78,24328.0,91.0,91.0,463.0,15.8,21.0,85.0,60.0,77.3,66.0,6.2,0.8,4.14,NaN
Spain,Europe,23.1,1.8,0.1,21.0,82.1,1.9,23999.0,373548.0,62.0,7.66,38507.0,93.0,59.0,491.0,17.9,11.0,72.0,70.0,83.4,72.0,6.3,0.6,4.01,15.93
Sweden,Europe,3.2,2.0,0.0,19.0,75.6,1.7,31287.0,NaN,77.0,1.12,42393.0,91.0,83.0,496.0,19.3,6.0,96.0,86.0,82.4,75.0,7.3,0.9,1.07,15.18
Turkey,Europe,12.5,1.5,8.0,20.0,59.8,1.0,NaN,NaN,52.0,2.39,NaN,86.0,39.0,425.0,18.3,20.0,65.0,86.0,78.0,69.0,5.5,1.4,32.64,14.79
United Kingdom,Europe,4.5,3.1,0.3,26.0,77.7,1.9,28715.0,548392.0,75.0,1.13,43732.0,94.0,81.0,500.0,17.5,11.0,84.0,69.0,81.2,69.0,6.8,0.2,12.15,14.92
United States,North America,7.7,3.1,0.1,19.0,73.9,2.4,45284.0,632100.0,70.0,0.66,60558.0,91.0,91.0,488.0,17.2,10.0,83.0,65.0,78.6,88.0,6.9,5.5,11.09,14.44
Chile,South America,8.7,1.3,9.4,18.0,47.9,1.2,NaN,100967.0,63.0,NaN,25879.0,85.0,65.0,443.0,17.5,16.0,71.0,47.0,79.9,57.0,6.5,4.2,9.72,NaN
Estonia,Europe,3.8,2.7,7.0,17.0,69.0,1.6,19697.0,159373.0,74.0,1.92,24336.0,92.0,89.0,524.0,17.7,8.0,84.0,64.0,77.8,53.0,5.7,3.1,2.42,14.9
Israel,Asia,4.2,2.5,NaN,NaN,69.8,1.2,NaN,NaN,69.0,0.49,35067.0,88.0,87.0,472.0,15.6,21.0,67.0,72.0,82.5,84.0,7.2,1.8,15.45,NaN
Latvia,Europe,9.6,2.2,13.9,23.0,62.4,1.2,16275.0,70160.0,70.0,3.35,23683.0,86.0,88.0,487.0,18.0,11.0,79.0,59.0,74.7,47.0,5.9,4.8,1.27,13.83
Slovenia,Europe,5.8,2.5,0.4,18.0,86.1,1.5,20820.0,203044.0,69.0,3.17,34933.0,92.0,88.0,509.0,18.3,16.0,90.0,53.0,81.3,64.0,5.9,0.6,4.39,14.75
Norway,Europe,NaN,2.2,0.0,17.0,90.1,2.1,35725.0,228936.0,74.0,0.66,51212.0,94.0,82.0,504.0,18.3,5.0,98.0,78.0,82.5,77.0,7.6,0.4,2.93,15.56
Switzerland,Europe,NaN,2.3,0.1,22.0,85.3,1.9,37466.0,NaN,80.0,1.82,62283.0,93.0,88.0,506.0,17.5,15.0,95.0,49.0,83.7,78.0,7.5,0.6,0.37,NaN
Brazil,South America,NaN,2.2,6.7,NaN,35.6,NaN,NaN,NaN,61.0,NaN,NaN,90.0,49.0,395.0,16.2,10.0,73.0,79.0,74.8,NaN,6.4,26.7,7.13,NaN
Russia,Europe,NaN,NaN,14.8,18.0,52.8,0.9,NaN,NaN,70.0,1.59,NaN,89.0,94.0,492.0,16.2,15.0,55.0,68.0,71.8,43.0,5.8,9.6,0.14,NaN
South Africa,Africa,NaN,NaN,37.0,18.0,36.1,NaN,NaN,NaN,43.0,16.46,NaN,88.0,73.0,NaN,NaN,22.0,67.0,73.0,57.5,NaN,4.7,13.7,18.12,14.92
Colombia,South America,NaN,1.4,23.9,17.0,44.4,1.2,NaN,NaN,67.0,0.79,NaN,89.0,54.0,410.0,14.1,10.0,75.0,53.0,76.2,NaN,6.3,24.5,26.56,NaN
Lithuania,Europe,NaN,2.4,13.6,19.0,55.9,1.5,21660.0,NaN,70.0,2.69,24287.0,88.0,93.0,475.0,18.4,14.0,81.0,51.0,74.8,43.0,5.9,3.4,0.54,NaN
